Date,Open,High,Low,Close,Adj Close,Volume
2022-07-25,302.019989,302.500000,298.220001,300.269989,298.553284,40582400
2022-07-26,298.529999,298.790009,293.540009,294.369995,292.687042,50074100
2022-07-27,299.040009,308.540009,298.459991,306.809998,305.055908,69304400
2022-07-28,306.589996,310.399994,302.750000,309.809998,308.038757,55139900
2022-07-29,311.390015,316.390015,309.929993,315.459991,313.656464,57501000
2022-08-01,313.649994,318.809998,312.529999,315.269989,313.467529,46358800
2022-08-02,312.920013,318.549988,311.839996,314.329987,312.532898,48676500
2022-08-03,316.049988,323.730011,315.989990,322.890015,321.044006,53735700
2022-08-04,322.970001,324.720001,320.769989,324.399994,322.545319,38973700
2022-08-05,319.190002,323.829987,318.390015,321.750000,319.910461,53894000
2022-08-08,322.690002,326.470001,319.209991,320.709991,318.876434,43878500
2022-08-09,318.769989,319.029999,315.420013,317.079987,315.267181,39764200
2022-08-10,324.589996,326.230011,322.059998,325.929993,324.066589,51459600
2022-08-11,328.309998,330.359985,323.359985,324.079987,322.227142,45897700
2022-08-12,326.179993,330.589996,325.100006,330.390015,328.501129,40928400
2022-08-15,329.420013,333.570007,329.399994,333.059998,331.155823,38266600
2022-08-16,332.059998,334.420013,329.160004,332.279999,330.380280,41186900
2022-08-17,329.070007,331.429993,326.359985,328.489990,326.611969,47842200
2022-08-18,328.440002,330.489990,326.790009,329.279999,327.397461,41937200
2022-08-19,326.170013,326.839996,322.079987,322.859985,321.014099,51770600
2022-08-22,318.500000,318.739990,313.529999,314.359985,312.562744,51098900
2022-08-23,314.119995,317.000000,313.329987,314.100006,312.304230,39497100
2022-08-24,313.609985,316.869995,312.989990,315.010010,313.209045,38057100
2022-08-25,316.829987,320.600006,315.760010,320.579987,318.747162,38098300
2022-08-26,320.279999,321.510010,307.350006,307.440002,305.682281,69047700
2022-08-29,304.619995,307.220001,303.279999,304.410004,302.669617,48321900
2022-08-30,306.100006,306.730011,298.440002,301.019989,299.299011,51184500
2022-08-31,303.989990,304.910004,299.160004,299.269989,297.559021,50044000
2022-09-01,296.720001,299.779999,292.950012,299.399994,297.688232,57990700
2022-09-02,302.339996,303.750000,293.519989,295.170013,293.482452,64666800
2022-09-06,295.660004,296.600006,290.869995,293.049988,291.374542,57005400
2022-09-07,293.540009,299.989990,293.269989,298.970001,297.260712,49260400
2022-09-08,296.850006,301.869995,295.450012,300.519989,298.801849,55649800
2022-09-09,302.829987,307.600006,300.519989,307.089996,305.334320,56125200
2022-09-12,308.500000,311.079987,308.179993,310.739990,308.963409,45905700
2022-09-13,301.799988,303.019989,292.790009,293.700012,292.020905,79562200
2022-09-14,294.869995,296.929993,293.059998,296.029999,294.337524,54907200
2022-09-15,294.070007,296.529999,289.459991,291.100006,289.435730,65299400
2022-09-16,287.720001,289.720001,285.619995,289.320007,287.665894,79920400
2022-09-19,286.100006,291.209991,286.040009,291.049988,289.906036,52613800
2022-09-20,288.489990,291.070007,286.380005,288.730011,287.595184,51271100
2022-09-21,289.589996,293.950012,283.420013,283.559998,282.445496,82931000
2022-09-22,282.000000,283.029999,278.820007,280.070007,278.969208,62757100
2022-09-23,277.549988,277.850006,272.019989,275.510010,274.427155,74815200
2022-09-26,275.029999,279.489990,273.559998,274.369995,273.291595,71176700
2022-09-27,277.809998,280.209991,272.109985,274.480011,273.401215,69780100
2022-09-28,274.459991,281.250000,272.950012,279.940002,278.839722,79652100
2022-09-29,275.859985,276.250000,268.839996,271.869995,270.801453,81216000
2022-09-30,271.029999,275.190002,267.100006,267.260010,266.209595,78482400
2022-10-03,269.070007,275.160004,267.529999,273.529999,272.454926,61267400
2022-10-04,278.989990,282.850006,278.989990,282.130005,281.021118,66696900
2022-10-05,278.279999,283.809998,275.420013,281.980011,280.871735,55766300
2022-10-06,280.959991,284.179993,279.429993,279.760010,278.660461,53489400
2022-10-07,275.019989,275.149994,267.739990,269.100006,268.042358,71354700
2022-10-10,269.299988,269.700012,263.640015,266.410004,265.362885,60393000
2022-10-11,264.700012,267.630005,261.029999,262.750000,261.717285,66522500
2022-10-12,263.399994,265.359985,261.950012,262.660004,261.627655,50580200
2022-10-13,255.160004,270.170013,254.259995,268.820007,267.763458,112894100
2022-10-14,271.200012,271.809998,260.140015,260.739990,259.715179,77244300
2022-10-17,266.839996,270.239990,266.739990,269.350006,268.291351,64576500
2022-10-18,276.529999,277.209991,268.739990,271.480011,270.412994,69781000
2022-10-19,269.929993,273.679993,268.070007,270.489990,269.426849,53115400
2022-10-20,269.579987,274.839996,267.920013,269.109985,268.052277,60605500
2022-10-21,267.980011,275.970001,266.820007,275.420013,274.337494,77897700
